"unique_id","gender","age","home_pc","education","work_status","living_children","age_group","driving_license","car_household_bin","car_access","sl_card","cycle_confidence","peer_commute","peer_commute_bin","commute_lenght_bin","bike_frequency_bin","q10_easy","q11_live_life_as_want","q12_able_to_do_activities","q13_satisfactory_access","lat","lon"
588,1,24,17237,1,"Employed",0,"0_29",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",1,1,1,0,2,2,2,2,59.37057,17.94496
583,1,32,17164,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.3507468,18.0269316
566,1,35,13233,1,"Employed",1,"30_59",0,0,"No",1,"In areas with high traffic, without separated bike lane",3,1,1,0,5,3,3,3,59.3292477,18.2520355
565,NA,45,16552,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",4,1,1,1,5,5,5,5,59.3722919,17.8411271
559,1,56,16354,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,4,4,4,59.3754448,17.8859419
551,0,44,14162,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",2,1,1,1,5,5,4,4,59.2371614,17.991867
543,0,65,12636,1,"Employed",0,"60a",1,0,"No",0,"In areas with low traffic, without separated bike lane",2,1,1,1,5,4,3,3,59.3015119,17.9991974
541,0,49,11869,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3108967,18.060897
540,1,27,12247,1,"Employed",0,"0_29",1,0,"No",1,"In areas with high traffic, without separated bike lane",3,1,1,0,4,5,4,4,59.2734754,18.062333
532,1,45,12653,1,"Employed",0,"30_59",0,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,1,1,5,4,4,4,59.3056484,17.985475
527,1,35,17171,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",5,1,0,1,4,5,5,5,59.349798,18.0024751
523,1,36,11259,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.3282692,18.0126628
522,1,29,17070,1,"Employed",1,"0_29",1,0,"No",1,"In areas with high traffic, without separated bike lane",1,1,0,1,3,3,3,4,59.3827398,18.0273498
